Mês,Desvio_Padrão
Jan,"[0.14133366 0.14237284 0.14340073 0.14440606 0.14537754 0.14630388
 0.14717382 0.14797605 0.1486993  0.14933228 0.14986163 0.1502656
 0.15052035 0.15060206 0.1504869  0.15015102 0.14957061 0.14872182
 0.14758082 0.1461208  0.14430294 0.14208546 0.13942657 0.13628446
 0.13261734 0.12838343 0.12354092 0.11804803 0.11191201 0.10533631
 0.09857344 0.0918759  0.08549619 0.07968682 0.07470029 0.07078911
 0.06820578 0.06711321 0.06731598 0.06852909 0.07046751 0.07284623
 0.07538025 0.07778455 0.07977411 0.08106394 0.0814371  0.08094899
 0.07972311 0.07788295 0.075552   0.07285375 0.06991169 0.06684932
 0.06379011 0.06084002 0.05803474 0.05539244 0.05293128 0.0506694
 0.04862496 0.04681612 0.04526103 0.04397786 0.04297902 0.04225404
 0.04178668 0.04156072 0.04155996 0.04176818 0.04216914 0.04274664
 0.04348445 0.04436814 0.04539035 0.04654552 0.0478281  0.0492325
 0.05075316 0.05238451 0.054121   0.05595705 0.05787779 0.05983112
 0.06175566 0.06358999 0.06527273 0.06674248 0.06793783 0.06879739
 0.06925976 0.06928227 0.06889715 0.06815536 0.06710783 0.06580554
 0.06429943 0.06264046 0.06087958 0.05906775]"
Fev,"[0.14133366 0.14237284 0.14340073 0.14440606 0.14537754 0.14630388
 0.14717382 0.14797605 0.1486993  0.14933228 0.14986163 0.1502656
 0.15052035 0.15060206 0.1504869  0.15015102 0.14957061 0.14872182
 0.14758082 0.1461208  0.14430294 0.14208546 0.13942657 0.13628446
 0.13261734 0.12838343 0.12354092 0.11804803 0.11191201 0.10533631
 0.09857344 0.0918759  0.08549619 0.07968682 0.07470029 0.07078911
 0.06820578 0.06711321 0.06731598 0.06852909 0.07046751 0.07284623
 0.07538025 0.07778455 0.07977411 0.08106394 0.0814371  0.08094899
 0.07972311 0.07788295 0.075552   0.07285375 0.06991169 0.06684932
 0.06379011 0.06084002 0.05803474 0.05539244 0.05293128 0.0506694
 0.04862496 0.04681612 0.04526103 0.04397786 0.04297902 0.04225404
 0.04178668 0.04156072 0.04155996 0.04176818 0.04216914 0.04274664
 0.04348445 0.04436814 0.04539035 0.04654552 0.0478281  0.0492325
 0.05075316 0.05238451 0.054121   0.05595705 0.05787779 0.05983112
 0.06175566 0.06358999 0.06527273 0.06674248 0.06793783 0.06879739
 0.06925976 0.06928227 0.06889715 0.06815536 0.06710783 0.06580554
 0.06429943 0.06264046 0.06087958 0.05906775]"
Mar,"[0.14133366 0.14237284 0.14340073 0.14440606 0.14537754 0.14630388
 0.14717382 0.14797605 0.1486993  0.14933228 0.14986163 0.1502656
 0.15052035 0.15060206 0.1504869  0.15015102 0.14957061 0.14872182
 0.14758082 0.1461208  0.14430294 0.14208546 0.13942657 0.13628446
 0.13261734 0.12838343 0.12354092 0.11804803 0.11191201 0.10533631
 0.09857344 0.0918759  0.08549619 0.07968682 0.07470029 0.07078911
 0.06820578 0.06711321 0.06731598 0.06852909 0.07046751 0.07284623
 0.07538025 0.07778455 0.07977411 0.08106394 0.0814371  0.08094899
 0.07972311 0.07788295 0.075552   0.07285375 0.06991169 0.06684932
 0.06379011 0.06084002 0.05803474 0.05539244 0.05293128 0.0506694
 0.04862496 0.04681612 0.04526103 0.04397786 0.04297902 0.04225404
 0.04178668 0.04156072 0.04155996 0.04176818 0.04216914 0.04274664
 0.04348445 0.04436814 0.04539035 0.04654552 0.0478281  0.0492325
 0.05075316 0.05238451 0.054121   0.05595705 0.05787779 0.05983112
 0.06175566 0.06358999 0.06527273 0.06674248 0.06793783 0.06879739
 0.06925976 0.06928227 0.06889715 0.06815536 0.06710783 0.06580554
 0.06429943 0.06264046 0.06087958 0.05906775]"
Abr,"[0.14133366 0.14237284 0.14340073 0.14440606 0.14537754 0.14630388
 0.14717382 0.14797605 0.1486993  0.14933228 0.14986163 0.1502656
 0.15052035 0.15060206 0.1504869  0.15015102 0.14957061 0.14872182
 0.14758082 0.1461208  0.14430294 0.14208546 0.13942657 0.13628446
 0.13261734 0.12838343 0.12354092 0.11804803 0.11191201 0.10533631
 0.09857344 0.0918759  0.08549619 0.07968682 0.07470029 0.07078911
 0.06820578 0.06711321 0.06731598 0.06852909 0.07046751 0.07284623
 0.07538025 0.07778455 0.07977411 0.08106394 0.0814371  0.08094899
 0.07972311 0.07788295 0.075552   0.07285375 0.06991169 0.06684932
 0.06379011 0.06084002 0.05803474 0.05539244 0.05293128 0.0506694
 0.04862496 0.04681612 0.04526103 0.04397786 0.04297902 0.04225404
 0.04178668 0.04156072 0.04155996 0.04176818 0.04216914 0.04274664
 0.04348445 0.04436814 0.04539035 0.04654552 0.0478281  0.0492325
 0.05075316 0.05238451 0.054121   0.05595705 0.05787779 0.05983112
 0.06175566 0.06358999 0.06527273 0.06674248 0.06793783 0.06879739
 0.06925976 0.06928227 0.06889715 0.06815536 0.06710783 0.06580554
 0.06429943 0.06264046 0.06087958 0.05906775]"
Mai,"[0.14133366 0.14237284 0.14340073 0.14440606 0.14537754 0.14630388
 0.14717382 0.14797605 0.1486993  0.14933228 0.14986163 0.1502656
 0.15052035 0.15060206 0.1504869  0.15015102 0.14957061 0.14872182
 0.14758082 0.1461208  0.14430294 0.14208546 0.13942657 0.13628446
 0.13261734 0.12838343 0.12354092 0.11804803 0.11191201 0.10533631
 0.09857344 0.0918759  0.08549619 0.07968682 0.07470029 0.07078911
 0.06820578 0.06711321 0.06731598 0.06852909 0.07046751 0.07284623
 0.07538025 0.07778455 0.07977411 0.08106394 0.0814371  0.08094899
 0.07972311 0.07788295 0.075552   0.07285375 0.06991169 0.06684932
 0.06379011 0.06084002 0.05803474 0.05539244 0.05293128 0.0506694
 0.04862496 0.04681612 0.04526103 0.04397786 0.04297902 0.04225404
 0.04178668 0.04156072 0.04155996 0.04176818 0.04216914 0.04274664
 0.04348445 0.04436814 0.04539035 0.04654552 0.0478281  0.0492325
 0.05075316 0.05238451 0.054121   0.05595705 0.05787779 0.05983112
 0.06175566 0.06358999 0.06527273 0.06674248 0.06793783 0.06879739
 0.06925976 0.06928227 0.06889715 0.06815536 0.06710783 0.06580554
 0.06429943 0.06264046 0.06087958 0.05906775]"
Jun,"[0.14133366 0.14237284 0.14340073 0.14440606 0.14537754 0.14630388
 0.14717382 0.14797605 0.1486993  0.14933228 0.14986163 0.1502656
 0.15052035 0.15060206 0.1504869  0.15015102 0.14957061 0.14872182
 0.14758082 0.1461208  0.14430294 0.14208546 0.13942657 0.13628446
 0.13261734 0.12838343 0.12354092 0.11804803 0.11191201 0.10533631
 0.09857344 0.0918759  0.08549619 0.07968682 0.07470029 0.07078911
 0.06820578 0.06711321 0.06731598 0.06852909 0.07046751 0.07284623
 0.07538025 0.07778455 0.07977411 0.08106394 0.0814371  0.08094899
 0.07972311 0.07788295 0.075552   0.07285375 0.06991169 0.06684932
 0.06379011 0.06084002 0.05803474 0.05539244 0.05293128 0.0506694
 0.04862496 0.04681612 0.04526103 0.04397786 0.04297902 0.04225404
 0.04178668 0.04156072 0.04155996 0.04176818 0.04216914 0.04274664
 0.04348445 0.04436814 0.04539035 0.04654552 0.0478281  0.0492325
 0.05075316 0.05238451 0.054121   0.05595705 0.05787779 0.05983112
 0.06175566 0.06358999 0.06527273 0.06674248 0.06793783 0.06879739
 0.06925976 0.06928227 0.06889715 0.06815536 0.06710783 0.06580554
 0.06429943 0.06264046 0.06087958 0.05906775]"
Jul,"[0.14133366 0.14237284 0.14340073 0.14440606 0.14537754 0.14630388
 0.14717382 0.14797605 0.1486993  0.14933228 0.14986163 0.1502656
 0.15052035 0.15060206 0.1504869  0.15015102 0.14957061 0.14872182
 0.14758082 0.1461208  0.14430294 0.14208546 0.13942657 0.13628446
 0.13261734 0.12838343 0.12354092 0.11804803 0.11191201 0.10533631
 0.09857344 0.0918759  0.08549619 0.07968682 0.07470029 0.07078911
 0.06820578 0.06711321 0.06731598 0.06852909 0.07046751 0.07284623
 0.07538025 0.07778455 0.07977411 0.08106394 0.0814371  0.08094899
 0.07972311 0.07788295 0.075552   0.07285375 0.06991169 0.06684932
 0.06379011 0.06084002 0.05803474 0.05539244 0.05293128 0.0506694
 0.04862496 0.04681612 0.04526103 0.04397786 0.04297902 0.04225404
 0.04178668 0.04156072 0.04155996 0.04176818 0.04216914 0.04274664
 0.04348445 0.04436814 0.04539035 0.04654552 0.0478281  0.0492325
 0.05075316 0.05238451 0.054121   0.05595705 0.05787779 0.05983112
 0.06175566 0.06358999 0.06527273 0.06674248 0.06793783 0.06879739
 0.06925976 0.06928227 0.06889715 0.06815536 0.06710783 0.06580554
 0.06429943 0.06264046 0.06087958 0.05906775]"
Ago,"[0.14133366 0.14237284 0.14340073 0.14440606 0.14537754 0.14630388
 0.14717382 0.14797605 0.1486993  0.14933228 0.14986163 0.1502656
 0.15052035 0.15060206 0.1504869  0.15015102 0.14957061 0.14872182
 0.14758082 0.1461208  0.14430294 0.14208546 0.13942657 0.13628446
 0.13261734 0.12838343 0.12354092 0.11804803 0.11191201 0.10533631
 0.09857344 0.0918759  0.08549619 0.07968682 0.07470029 0.07078911
 0.06820578 0.06711321 0.06731598 0.06852909 0.07046751 0.07284623
 0.07538025 0.07778455 0.07977411 0.08106394 0.0814371  0.08094899
 0.07972311 0.07788295 0.075552   0.07285375 0.06991169 0.06684932
 0.06379011 0.06084002 0.05803474 0.05539244 0.05293128 0.0506694
 0.04862496 0.04681612 0.04526103 0.04397786 0.04297902 0.04225404
 0.04178668 0.04156072 0.04155996 0.04176818 0.04216914 0.04274664
 0.04348445 0.04436814 0.04539035 0.04654552 0.0478281  0.0492325
 0.05075316 0.05238451 0.054121   0.05595705 0.05787779 0.05983112
 0.06175566 0.06358999 0.06527273 0.06674248 0.06793783 0.06879739
 0.06925976 0.06928227 0.06889715 0.06815536 0.06710783 0.06580554
 0.06429943 0.06264046 0.06087958 0.05906775]"
Set,"[0.14133366 0.14237284 0.14340073 0.14440606 0.14537754 0.14630388
 0.14717382 0.14797605 0.1486993  0.14933228 0.14986163 0.1502656
 0.15052035 0.15060206 0.1504869  0.15015102 0.14957061 0.14872182
 0.14758082 0.1461208  0.14430294 0.14208546 0.13942657 0.13628446
 0.13261734 0.12838343 0.12354092 0.11804803 0.11191201 0.10533631
 0.09857344 0.0918759  0.08549619 0.07968682 0.07470029 0.07078911
 0.06820578 0.06711321 0.06731598 0.06852909 0.07046751 0.07284623
 0.07538025 0.07778455 0.07977411 0.08106394 0.0814371  0.08094899
 0.07972311 0.07788295 0.075552   0.07285375 0.06991169 0.06684932
 0.06379011 0.06084002 0.05803474 0.05539244 0.05293128 0.0506694
 0.04862496 0.04681612 0.04526103 0.04397786 0.04297902 0.04225404
 0.04178668 0.04156072 0.04155996 0.04176818 0.04216914 0.04274664
 0.04348445 0.04436814 0.04539035 0.04654552 0.0478281  0.0492325
 0.05075316 0.05238451 0.054121   0.05595705 0.05787779 0.05983112
 0.06175566 0.06358999 0.06527273 0.06674248 0.06793783 0.06879739
 0.06925976 0.06928227 0.06889715 0.06815536 0.06710783 0.06580554
 0.06429943 0.06264046 0.06087958 0.05906775]"
Out,"[0.14133366 0.14237284 0.14340073 0.14440606 0.14537754 0.14630388
 0.14717382 0.14797605 0.1486993  0.14933228 0.14986163 0.1502656
 0.15052035 0.15060206 0.1504869  0.15015102 0.14957061 0.14872182
 0.14758082 0.1461208  0.14430294 0.14208546 0.13942657 0.13628446
 0.13261734 0.12838343 0.12354092 0.11804803 0.11191201 0.10533631
 0.09857344 0.0918759  0.08549619 0.07968682 0.07470029 0.07078911
 0.06820578 0.06711321 0.06731598 0.06852909 0.07046751 0.07284623
 0.07538025 0.07778455 0.07977411 0.08106394 0.0814371  0.08094899
 0.07972311 0.07788295 0.075552   0.07285375 0.06991169 0.06684932
 0.06379011 0.06084002 0.05803474 0.05539244 0.05293128 0.0506694
 0.04862496 0.04681612 0.04526103 0.04397786 0.04297902 0.04225404
 0.04178668 0.04156072 0.04155996 0.04176818 0.04216914 0.04274664
 0.04348445 0.04436814 0.04539035 0.04654552 0.0478281  0.0492325
 0.05075316 0.05238451 0.054121   0.05595705 0.05787779 0.05983112
 0.06175566 0.06358999 0.06527273 0.06674248 0.06793783 0.06879739
 0.06925976 0.06928227 0.06889715 0.06815536 0.06710783 0.06580554
 0.06429943 0.06264046 0.06087958 0.05906775]"
