,coluna,capacity_factor,x_coord,y_coord,Valor
1048,337.0000,0.1877,"[ 8.42500000e-01  0.00000000e+00 -1.39605375e+04  0.00000000e+00
 -8.42500000e-01 -9.38285932e+02  0.00000000e+00  0.00000000e+00
  3.37000000e+02]","[ 2.62000000e+00  0.00000000e+00 -4.34143718e+04  0.00000000e+00
 -2.62000000e+00 -2.91787435e+03  0.00000000e+00  0.00000000e+00
  1.04800000e+03]",
1082,1086.0000,0.1789,"[ 2.71500000e+00  0.00000000e+00 -4.49885571e+04  0.00000000e+00
 -2.71500000e+00 -3.02367514e+03  0.00000000e+00  0.00000000e+00
  1.08600000e+03]","[ 2.70500000e+00  0.00000000e+00 -4.48228534e+04  0.00000000e+00
 -2.70500000e+00 -3.01253821e+03  0.00000000e+00  0.00000000e+00
  1.08200000e+03]",
1085,785.0000,0.1037,"[ 1.96250000e+00  0.00000000e+00 -3.25193529e+04  0.00000000e+00
 -1.96250000e+00 -2.18562153e+03  0.00000000e+00  0.00000000e+00
  7.85000000e+02]","[ 2.71250000e+00  0.00000000e+00 -4.49471311e+04  0.00000000e+00
 -2.71250000e+00 -3.02089091e+03  0.00000000e+00  0.00000000e+00
  1.08500000e+03]",
1133,493.0000,0.3051,"[ 1.23250000e+00  0.00000000e+00 -2.04229822e+04  0.00000000e+00
 -1.23250000e+00 -1.37262601e+03  0.00000000e+00  0.00000000e+00
  4.93000000e+02]","[ 2.83250000e+00  0.00000000e+00 -4.69355757e+04  0.00000000e+00
 -2.83250000e+00 -3.15453401e+03  0.00000000e+00  0.00000000e+00
  1.13300000e+03]",
1359,302.0000,0.1580,"[ 7.55000000e-01  0.00000000e+00 -1.25106300e+04  0.00000000e+00
 -7.55000000e-01 -8.40837838e+02  0.00000000e+00  0.00000000e+00
  3.02000000e+02]","[ 3.39750000e+00  0.00000000e+00 -5.62978352e+04  0.00000000e+00
 -3.39750000e+00 -3.78377027e+03  0.00000000e+00  0.00000000e+00
  1.35900000e+03]",
1022,301.0000,0.1722,"[ 7.52500000e-01  0.00000000e+00 -1.24692041e+04  0.00000000e+00
 -7.52500000e-01 -8.38053607e+02  0.00000000e+00  0.00000000e+00
  3.01000000e+02]","[ 2.55500000e+00  0.00000000e+00 -4.23372977e+04  0.00000000e+00
 -2.55500000e+00 -2.84548434e+03  0.00000000e+00  0.00000000e+00
  1.02200000e+03]",
979,793.0000,0.0928,"[ 1.98250000e+00  0.00000000e+00 -3.28507604e+04  0.00000000e+00
 -1.98250000e+00 -2.20789538e+03  0.00000000e+00  0.00000000e+00
  7.93000000e+02]","[ 2.44750000e+00  0.00000000e+00 -4.05559828e+04  0.00000000e+00
 -2.44750000e+00 -2.72576240e+03  0.00000000e+00  0.00000000e+00
  9.79000000e+02]",
254,586.0000,0.2743,"[ 1.46500000e+00  0.00000000e+00 -2.42755934e+04  0.00000000e+00
 -1.46500000e+00 -1.63155951e+03  0.00000000e+00  0.00000000e+00
  5.86000000e+02]","[ 6.35000000e-01  0.00000000e+00 -1.05221855e+04  0.00000000e+00
 -6.35000000e-01 -7.07194738e+02  0.00000000e+00  0.00000000e+00
  2.54000000e+02]",
1572,1019.0000,0.1522,"[ 2.54750000e+00  0.00000000e+00 -4.22130199e+04  0.00000000e+00
 -2.54750000e+00 -2.83713165e+03  0.00000000e+00  0.00000000e+00
  1.01900000e+03]","[ 3.93000000e+00  0.00000000e+00 -6.51215577e+04  0.00000000e+00
 -3.93000000e+00 -4.37681153e+03  0.00000000e+00  0.00000000e+00
  1.57200000e+03]",
1357,328.0000,0.1736,"[ 8.20000000e-01  0.00000000e+00 -1.35877042e+04  0.00000000e+00
 -8.20000000e-01 -9.13227851e+02  0.00000000e+00  0.00000000e+00
  3.28000000e+02]","[ 3.39250000e+00  0.00000000e+00 -5.62149834e+04  0.00000000e+00
 -3.39250000e+00 -3.77820181e+03  0.00000000e+00  0.00000000e+00
  1.35700000e+03]",
1400,1104.0000,0.2522,"[ 2.76000000e+00  0.00000000e+00 -4.57342238e+04  0.00000000e+00
 -2.76000000e+00 -3.07379130e+03  0.00000000e+00  0.00000000e+00
  1.10400000e+03]","[ 3.50000000e+00  0.00000000e+00 -5.79962982e+04  0.00000000e+00
 -3.50000000e+00 -3.89792375e+03  0.00000000e+00  0.00000000e+00
  1.40000000e+03]",
1769,670.0000,0.2303,"[ 1.67500000e+00  0.00000000e+00 -2.77553713e+04  0.00000000e+00
 -1.67500000e+00 -1.86543494e+03  0.00000000e+00  0.00000000e+00
  6.70000000e+02]","[ 4.42250000e+00  0.00000000e+00 -7.32824654e+04  0.00000000e+00
 -4.42250000e+00 -4.92530509e+03  0.00000000e+00  0.00000000e+00
  1.76900000e+03]",
121,396.0000,0.1833,"[ 9.90000000e-01  0.00000000e+00 -1.64046672e+04  0.00000000e+00
 -9.90000000e-01 -1.10255558e+03  0.00000000e+00  0.00000000e+00
  3.96000000e+02]","[ 3.02500000e-01  0.00000000e+00 -5.01253721e+03  0.00000000e+00
 -3.02500000e-01 -3.36891982e+02  0.00000000e+00  0.00000000e+00
  1.21000000e+02]",
1152,1182.0000,0.2114,"[ 2.95500000e+00  0.00000000e+00 -4.89654461e+04  0.00000000e+00
 -2.95500000e+00 -3.29096134e+03  0.00000000e+00  0.00000000e+00
  1.18200000e+03]","[ 2.88000000e+00  0.00000000e+00 -4.77226683e+04  0.00000000e+00
 -2.88000000e+00 -3.20743440e+03  0.00000000e+00  0.00000000e+00
  1.15200000e+03]",
607,1374.0000,0.3933,"[ 3.43500000e+00  0.00000000e+00 -5.69192241e+04  0.00000000e+00
 -3.43500000e+00 -3.82553374e+03  0.00000000e+00  0.00000000e+00
  1.37400000e+03]","[ 1.51750000e+00  0.00000000e+00 -2.51455379e+04  0.00000000e+00
 -1.51750000e+00 -1.69002837e+03  0.00000000e+00  0.00000000e+00
  6.07000000e+02]",
1831,991.0000,0.2103,"[ 2.47750000e+00  0.00000000e+00 -4.10530940e+04  0.00000000e+00
 -2.47750000e+00 -2.75917317e+03  0.00000000e+00  0.00000000e+00
  9.91000000e+02]","[ 4.57750000e+00  0.00000000e+00 -7.58508729e+04  0.00000000e+00
 -4.57750000e+00 -5.09792742e+03  0.00000000e+00  0.00000000e+00
  1.83100000e+03]",
677,577.0000,0.1766,"[ 1.44250000e+00  0.00000000e+00 -2.39027601e+04  0.00000000e+00
 -1.44250000e+00 -1.60650143e+03  0.00000000e+00  0.00000000e+00
  5.77000000e+02]","[ 1.69250000e+00  0.00000000e+00 -2.80453528e+04  0.00000000e+00
 -1.69250000e+00 -1.88492456e+03  0.00000000e+00  0.00000000e+00
  6.77000000e+02]",
242,284.0000,0.1574,"[ 7.10000000e-01  0.00000000e+00 -1.17649634e+04  0.00000000e+00
 -7.10000000e-01 -7.90721676e+02  0.00000000e+00  0.00000000e+00
  2.84000000e+02]","[ 6.05000000e-01  0.00000000e+00 -1.00250744e+04  0.00000000e+00
 -6.05000000e-01 -6.73783963e+02  0.00000000e+00  0.00000000e+00
  2.42000000e+02]",
700,359.0000,0.0819,"[ 8.97500000e-01  0.00000000e+00 -1.48719079e+04  0.00000000e+00
 -8.97500000e-01 -9.99539020e+02  0.00000000e+00  0.00000000e+00
  3.59000000e+02]","[ 1.75000000e+00  0.00000000e+00 -2.89981491e+04  0.00000000e+00
 -1.75000000e+00 -1.94896188e+03  0.00000000e+00  0.00000000e+00
  7.00000000e+02]",
