valid_time,number,latitude,longitude,expver,u100,v100
2020-01-01,0,-3.67,-38.94,0001,-4.0890646,-1.1227131
2020-02-01,0,-3.67,-38.94,0001,-3.4440098,-0.55659294
2020-03-01,0,-3.67,-38.94,0001,-2.0496912,-0.69449955
2020-04-01,0,-3.67,-38.94,0001,-3.028633,0.7709205
2020-05-01,0,-3.67,-38.94,0001,-4.3271074,2.078267
2020-06-01,0,-3.67,-38.94,0001,-4.6919594,3.0182219
2020-07-01,0,-3.67,-38.94,0001,-5.490611,3.2019043
2020-08-01,0,-3.67,-38.94,0001,-6.9497957,2.697998
2020-09-01,0,-3.67,-38.94,0001,-7.557248,1.9559212
2020-10-01,0,-3.67,-38.94,0001,-7.125396,0.4867314
2020-11-01,0,-3.67,-38.94,0001,-7.107233,0.6885743
2020-12-01,0,-3.67,-38.94,0001,-7.301922,0.53764325
2021-01-01,0,-3.67,-38.94,0001,-6.451906,-0.084052384
2021-02-01,0,-3.67,-38.94,0001,-5.3512106,-0.38325948
2021-03-01,0,-3.67,-38.94,0001,-4.2784033,-0.12273002
2021-04-01,0,-3.67,-38.94,0001,-4.669136,1.156373
2021-05-01,0,-3.67,-38.94,0001,-4.05184,2.2514915
2021-06-01,0,-3.67,-38.94,0001,-4.987735,1.6116066
2021-07-01,0,-3.67,-38.94,0001,-6.024871,2.3280087
2021-08-01,0,-3.67,-38.94,0001,-6.8814983,2.918727
2021-09-01,0,-3.67,-38.94,0001,-7.5835466,1.3839474
2021-10-01,0,-3.67,-38.94,0001,-7.2270317,0.4277718
2021-11-01,0,-3.67,-38.94,0001,-6.862543,-0.08793765
2021-12-01,0,-3.67,-38.94,0001,-6.8058558,0.12138921
2022-01-01,0,-3.67,-38.94,0001,-4.8396435,0.09520054
2022-02-01,0,-3.67,-38.94,0001,-5.359483,-0.19193804
2022-03-01,0,-3.67,-38.94,0001,-3.9181805,0.46446759
2022-04-01,0,-3.67,-38.94,0001,-3.6636257,1.0416164
2022-05-01,0,-3.67,-38.94,0001,-3.8336935,2.320736
2022-06-01,0,-3.67,-38.94,0001,-3.8973942,2.9511251
2022-07-01,0,-3.67,-38.94,0001,-5.288413,3.5834932
2022-08-01,0,-3.67,-38.94,0001,-6.4431868,3.0785894
2022-09-01,0,-3.67,-38.94,0001,-7.3845015,1.805171
2022-10-01,0,-3.67,-38.94,0001,-7.7924004,1.2804556
2022-11-01,0,-3.67,-38.94,0001,-6.246558,-0.1535824
2022-12-01,0,-3.67,-38.94,0001,-6.482956,0.20777678
2023-01-01,0,-3.67,-38.94,0001,-5.561227,-0.19770133
2023-02-01,0,-3.67,-38.94,0001,-5.111315,0.051137943
2023-03-01,0,-3.67,-38.94,0001,-3.3768806,0.32491922
2023-04-01,0,-3.67,-38.94,0001,-3.21873,0.9960853
2023-05-01,0,-3.67,-38.94,0001,-4.7234077,1.602787
2023-06-01,0,-3.67,-38.94,0001,-5.3029537,2.6103086
2023-07-01,0,-3.67,-38.94,0001,-6.31691,2.9018345
2023-08-01,0,-3.67,-38.94,0001,-6.847001,1.7741499
2023-09-01,0,-3.67,-38.94,0001,-7.6174107,1.9113779
2023-10-01,0,-3.67,-38.94,0001,-7.634877,0.7250064
2023-11-01,0,-3.67,-38.94,0001,-6.9550753,0.099065244
2023-12-01,0,-3.67,-38.94,0001,-6.5107117,0.28993464
2024-01-01,0,-3.67,-38.94,0001,-5.2266893,-0.80328274
2024-02-01,0,-3.67,-38.94,0001,-3.9675102,0.011070728
2024-03-01,0,-3.67,-38.94,0001,-2.7349567,-0.37309825
2024-04-01,0,-3.67,-38.94,0001,-2.813304,0.6963101
2024-05-01,0,-3.67,-38.94,0001,-4.6449785,2.34663
2024-06-01,0,-3.67,-38.94,0001,-5.3572073,3.3740578
2024-07-01,0,-3.67,-38.94,0001,-6.2158804,3.4519339
2024-08-01,0,-3.67,-38.94,0001,-7.1067495,2.8947945
2024-09-01,0,-3.67,-38.94,0001,-7.945567,2.3139076
2024-10-01,0,-3.67,-38.94,0001,-7.598239,0.777371
2024-11-01,0,-3.67,-38.94,0001,-7.378989,0.62369055
2024-12-01,0,-3.67,-38.94,0001,-6.7505045,0.3653593
